#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 08 01 08 30  50  7.2  7.7 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.8 99.0 99.00
2020 08 01 08 40  50  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.6 99.0 99.00
2020 08 01 08 50  50  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.7 99.0 99.00
2020 08 01 09 00  50  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.7 99.0 99.00
2020 08 01 09 30  50  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.5 999.0  20.3 99.0 99.00
2020 08 01 09 40  50  5.1  5.1 99.00 99.00 99.00 999 9999.0  23.5 999.0  20.7 99.0 99.00
2020 08 01 09 50  40  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.4 999.0  20.9 99.0 99.00
2020 08 01 10 00  50  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.5 999.0  20.6 99.0 99.00
2020 08 01 10 10  60  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.6 999.0  20.2 99.0 99.00
2020 08 01 10 20  60  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  20.0 99.0 99.00
2020 08 01 10 30  70  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  20.3 99.0 99.00
2020 08 01 10 40  70  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  20.4 99.0 99.00
2020 08 01 10 50  70  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.7 99.0 99.00
2020 08 01 11 00  70  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.9 99.0 99.00
2020 08 01 11 10  80  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.8 99.0 99.00
2020 08 01 11 20  80  4.1  4.1 99.00 99.00 99.00 999 9999.0  23.5 999.0  19.4 99.0 99.00
2020 08 01 11 30  70  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.5 999.0  19.8 99.0 99.00
2020 08 01 11 40  80  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.7 99.0 99.00
2020 08 01 11 50  70  4.6  4.6 99.00 99.00 99.00 999 9999.0  23.4 999.0  20.0 99.0 99.00
2020 08 01 12 00  70  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.3 99.0 99.00
2020 08 01 12 10  60  3.6  3.6 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.4 99.0 99.00
2020 08 01 12 20  70  4.1  4.1 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.1 99.0 99.00
2020 08 01 12 30  60  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.2 99.0 99.00
2020 08 01 12 40  50  3.6  3.6 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.2 99.0 99.00
2020 08 01 12 50  50  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.3 999.0  19.9 99.0 99.00
2020 08 01 13 00  60  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.3 999.0  20.0 99.0 99.00
2020 08 01 13 10  70  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  20.0 99.0 99.00
2020 08 01 13 20  70  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.9 99.0 99.00
2020 08 01 13 30  90  4.1  4.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.4 99.0 99.00
2020 08 01 13 40  90  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.3 999.0  19.8 99.0 99.00
2020 08 01 13 50 110  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.4 999.0  18.3 99.0 99.00
2020 08 01 14 00 120  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.3 999.0  18.7 99.0 99.00
2020 08 01 14 10 120  4.1  4.6 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.1 99.0 99.00
2020 08 01 14 20 120  4.1  4.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  18.3 99.0 99.00
2020 08 01 14 30 120  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.0 999.0  18.7 99.0 99.00
2020 08 01 14 40 120  3.6  4.6 99.00 99.00 99.00 999 9999.0  23.0 999.0  19.1 99.0 99.00
2020 08 01 14 50 130  4.1  4.6 99.00 99.00 99.00 999 9999.0  22.8 999.0  19.1 99.0 99.00
2020 08 01 15 00 160  3.1  3.6 99.00 99.00 99.00 999 9999.0  22.5 999.0  19.1 99.0 99.00
2020 08 01 15 10 160  3.1  3.6 99.00 99.00 99.00 999 9999.0  22.4 999.0  19.0 99.0 99.00
2020 08 01 15 20 150  2.6  3.6 99.00 99.00 99.00 999 9999.0  22.6 999.0  19.2 99.0 99.00
2020 08 01 15 30 150  3.1  4.1 99.00 99.00 99.00 999 9999.0  22.8 999.0  19.1 99.0 99.00
2020 08 01 15 40 160  2.6  3.6 99.00 99.00 99.00 999 9999.0  22.9 999.0  19.1 99.0 99.00
2020 08 01 15 50 140  2.1  2.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  18.9 99.0 99.00
2020 08 01 16 00 130  2.1  2.6 99.00 99.00 99.00 999 9999.0  23.7 999.0  19.1 99.0 99.00
2020 08 01 16 10 150  2.1  2.6 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.2 99.0 99.00
2020 08 01 16 20 130  3.1  3.6 99.00 99.00 99.00 999 9999.0  23.3 999.0  19.2 99.0 99.00
2020 08 01 16 30 140  2.1  3.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.3 99.0 99.00
2020 08 01 16 40 130  3.1  3.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.2 99.0 99.00
2020 08 01 16 50 110  2.1  2.1 99.00 99.00 99.00 999 9999.0  23.4 999.0  19.2 99.0 99.00
2020 08 01 17 00 120  1.5  2.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.2 99.0 99.00
2020 08 01 17 10 120  2.6  3.1 99.00 99.00 99.00 999 9999.0  23.5 999.0  19.4 99.0 99.00
2020 08 01 17 20 110  2.6  2.6 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.1 99.0 99.00
2020 08 01 17 30 110  2.1  2.1 99.00 99.00 99.00 999 9999.0  23.6 999.0  19.4 99.0 99.00
2020 08 01 17 40 130  2.1  2.1 99.00 99.00 99.00 999 9999.0  24.0 999.0  19.3 99.0 99.00
2020 08 01 17 50 120  1.5  2.1 99.00 99.00 99.00 999 9999.0  23.7 999.0  18.9 99.0 99.00
2020 08 01 18 00 120  1.5  1.5 99.00 99.00 99.00 999 9999.0  24.1 999.0  19.2 99.0 99.00
2020 08 01 18 10 130  1.0  1.0 99.00 99.00 99.00 999 9999.0  24.7 999.0  19.4 99.0 99.00
2020 08 01 18 20  70  0.5  0.5 99.00 99.00 99.00 999 9999.0  23.7 999.0  19.3 99.0 99.00
2020 08 01 18 30  90  0.5  0.5 99.00 99.00 99.00 999 9999.0  23.8 999.0  19.0 99.0 99.00
2020 08 01 18 40  70  1.0  1.0 99.00 99.00 99.00 999 9999.0  23.8 999.0  19.3 99.0 99.00
2020 08 01 18 50  50  1.0  1.5 99.00 99.00 99.00 999 9999.0  23.4 999.0  18.9 99.0 99.00
2020 08 01 19 00  20  1.5  2.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  18.8 99.0 99.00
