#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 03 01 08 20 170  7.7  8.8 99.00 99.00 99.00 999 9999.0   0.4 999.0  -3.9 99.0 99.00
2020 03 01 08 30 180  7.7  8.2 99.00 99.00 99.00 999 9999.0   0.5 999.0  -3.9 99.0 99.00
2020 03 01 08 40 180  7.7  8.8 99.00 99.00 99.00 999 9999.0   0.7 999.0  -3.9 99.0 99.00
2020 03 01 08 50 180  8.2  8.8 99.00 99.00 99.00 999 9999.0   0.8 999.0  -4.5 99.0 99.00
2020 03 01 09 00 180  8.2  9.3 99.00 99.00 99.00 999 9999.0   0.8 999.0  -4.6 99.0 99.00
2020 03 01 09 10 180  8.8  9.8 99.00 99.00 99.00 999 9999.0   0.8 999.0  -4.8 99.0 99.00
2020 03 01 09 20 180  8.8  9.3 99.00 99.00 99.00 999 9999.0   0.8 999.0  -4.4 99.0 99.00
2020 03 01 09 30 180  7.7  8.8 99.00 99.00 99.00 999 9999.0   0.6 999.0  -4.1 99.0 99.00
2020 03 01 09 40 170  8.2  9.8 99.00 99.00 99.00 999 9999.0   0.5 999.0  -4.2 99.0 99.00
2020 03 01 09 50 180  8.8  9.8 99.00 99.00 99.00 999 9999.0   0.5 999.0  -4.2 99.0 99.00
2020 03 01 10 00 180  8.8  9.3 99.00 99.00 99.00 999 9999.0   0.4 999.0  -4.4 99.0 99.00
2020 03 01 10 10 170  9.3 10.3 99.00 99.00 99.00 999 9999.0   0.4 999.0  -4.4 99.0 99.00
2020 03 01 10 20 170  9.8 10.3 99.00 99.00 99.00 999 9999.0   0.3 999.0  -4.5 99.0 99.00
2020 03 01 10 30 170 10.8 11.8 99.00 99.00 99.00 999 9999.0   0.4 999.0  -4.6 99.0 99.00
2020 03 01 10 40 180 10.8 11.3 99.00 99.00 99.00 999 9999.0   0.4 999.0  -4.5 99.0 99.00
2020 03 01 10 50 180 11.3 11.8 99.00 99.00 99.00 999 9999.0   0.5 999.0  -4.5 99.0 99.00
2020 03 01 11 00 180 10.3 11.3 99.00 99.00 99.00 999 9999.0   0.7 999.0  -3.8 99.0 99.00
2020 03 01 11 10 180 10.8 11.3 99.00 99.00 99.00 999 9999.0   0.9 999.0  -4.0 99.0 99.00
2020 03 01 11 20 180 11.8 12.4 99.00 99.00 99.00 999 9999.0   0.8 999.0  -3.9 99.0 99.00
2020 03 01 11 30 180 12.9 13.9 99.00 99.00 99.00 999 9999.0   1.0 999.0  -3.9 99.0 99.00
2020 03 01 11 40 180 12.9 13.9 99.00 99.00 99.00 999 9999.0   1.1 999.0  -4.0 99.0 99.00
2020 03 01 11 50 180 13.9 14.4 99.00 99.00 99.00 999 9999.0   1.1 999.0  -3.7 99.0 99.00
2020 03 01 12 00 180 13.9 14.4 99.00 99.00 99.00 999 9999.0   1.2 999.0  -3.8 99.0 99.00
2020 03 01 12 10 180 14.4 14.9 99.00 99.00 99.00 999 9999.0   1.2 999.0  -3.8 99.0 99.00
2020 03 01 12 20 180 14.9 15.4 99.00 99.00 99.00 999 9999.0   1.2 999.0  -3.8 99.0 99.00
2020 03 01 12 30 180 14.4 14.9 99.00 99.00 99.00 999 9999.0   1.3 999.0  -3.5 99.0 99.00
2020 03 01 12 40 180 13.9 14.4 99.00 99.00 99.00 999 9999.0   1.4 999.0  -3.2 99.0 99.00
2020 03 01 12 50 180 12.9 13.9 99.00 99.00 99.00 999 9999.0   1.6 999.0  -2.8 99.0 99.00
2020 03 01 13 00 180 13.4 13.9 99.00 99.00 99.00 999 9999.0   1.7 999.0  -2.6 99.0 99.00
2020 03 01 13 10 180 14.4 15.4 99.00 99.00 99.00 999 9999.0   1.7 999.0  -2.7 99.0 99.00
2020 03 01 13 20 180 14.9 15.4 99.00 99.00 99.00 999 9999.0   2.0 999.0  -2.8 99.0 99.00
2020 03 01 13 30 180 14.4 15.4 99.00 99.00 99.00 999 9999.0   2.0 999.0  -2.6 99.0 99.00
2020 03 01 13 40 180 14.9 16.0 99.00 99.00 99.00 999 9999.0   2.5 999.0  -2.9 99.0 99.00
2020 03 01 13 50 180 14.9 16.0 99.00 99.00 99.00 999 9999.0   2.7 999.0  -2.9 99.0 99.00
2020 03 01 14 00 180 14.9 15.4 99.00 99.00 99.00 999 9999.0   2.9 999.0  -2.5 99.0 99.00
2020 03 01 14 10 180 14.9 15.4 99.00 99.00 99.00 999 9999.0   3.0 999.0  -2.4 99.0 99.00
2020 03 01 14 20 180 16.0 17.0 99.00 99.00 99.00 999 9999.0   3.5 999.0  -2.6 99.0 99.00
2020 03 01 14 30 190 16.5 17.0 99.00 99.00 99.00 999 9999.0   3.8 999.0  -2.7 99.0 99.00
2020 03 01 14 40 190 14.9 16.5 99.00 99.00 99.00 999 9999.0   3.9 999.0  -2.3 99.0 99.00
2020 03 01 14 50 190 14.9 16.0 99.00 99.00 99.00 999 9999.0   4.2 999.0  -2.3 99.0 99.00
2020 03 01 15 00 190 16.0 18.0 99.00 99.00 99.00 999 9999.0   4.8 999.0  -2.4 99.0 99.00
2020 03 01 15 10 190 15.4 17.5 99.00 99.00 99.00 999 9999.0   5.1 999.0  -2.2 99.0 99.00
2020 03 01 15 20 200 16.0 18.0 99.00 99.00 99.00 999 9999.0   5.3 999.0  -2.0 99.0 99.00
2020 03 01 15 30 200 14.9 16.5 99.00 99.00 99.00 999 9999.0   5.5 999.0  -1.7 99.0 99.00
2020 03 01 15 40 200 14.9 16.5 99.00 99.00 99.00 999 9999.0   5.7 999.0  -1.5 99.0 99.00
2020 03 01 15 50 200 15.4 17.0 99.00 99.00 99.00 999 9999.0   6.1 999.0  -1.5 99.0 99.00
2020 03 01 16 00 200 14.4 16.5 99.00 99.00 99.00 999 9999.0   6.2 999.0  -1.2 99.0 99.00
2020 03 01 16 10 200 14.4 15.4 99.00 99.00 99.00 999 9999.0   6.3 999.0  -1.0 99.0 99.00
2020 03 01 16 20 200 13.4 14.4 99.00 99.00 99.00 999 9999.0   6.5 999.0  -0.8 99.0 99.00
2020 03 01 16 30 200 12.9 14.4 99.00 99.00 99.00 999 9999.0   6.4 999.0  -0.4 99.0 99.00
2020 03 01 16 40 200 11.8 12.4 99.00 99.00 99.00 999 9999.0   6.5 999.0  -0.2 99.0 99.00
2020 03 01 16 50 200 12.9 14.4 99.00 99.00 99.00 999 9999.0   7.1 999.0  -0.2 99.0 99.00
2020 03 01 17 00 200 12.4 13.4 99.00 99.00 99.00 999 9999.0   7.5 999.0  -0.1 99.0 99.00
2020 03 01 17 10 200 12.4 13.4 99.00 99.00 99.00 999 9999.0   7.8 999.0   0.1 99.0 99.00
2020 03 01 17 20 200 13.4 14.4 99.00 99.00 99.00 999 9999.0   7.8 999.0   0.3 99.0 99.00
2020 03 01 17 30 200 12.9 13.9 99.00 99.00 99.00 999 9999.0   8.0 999.0   0.4 99.0 99.00
2020 03 01 17 40 200 14.4 14.9 99.00 99.00 99.00 999 9999.0   8.4 999.0   0.5 99.0 99.00
2020 03 01 17 50 200 11.3 12.9 99.00 99.00 99.00 999 9999.0   7.5 999.0   0.9 99.0 99.00
2020 03 01 18 00 200 13.9 14.9 99.00 99.00 99.00 999 9999.0   8.9 999.0   0.9 99.0 99.00
2020 03 01 18 10 200 14.4 14.9 99.00 99.00 99.00 999 9999.0   8.5 999.0   1.1 99.0 99.00
2020 03 01 18 20 190 13.9 14.9 99.00 99.00 99.00 999 9999.0   8.9 999.0   1.3 99.0 99.00
2020 03 01 18 30 190 14.9 16.0 99.00 99.00 99.00 999 9999.0   9.0 999.0   1.5 99.0 99.00
2020 03 01 18 40 190 13.9 14.4 99.00 99.00 99.00 999 9999.0   9.8 999.0   1.7 99.0 99.00
2020 03 01 18 50 200 14.4 14.9 99.00 99.00 99.00 999 9999.0   9.7 999.0   2.0 99.0 99.00
2020 03 01 19 00 200 12.4 13.4 99.00 99.00 99.00 999 9999.0   9.3 999.0   2.3 99.0 99.00
2020 03 01 19 10 200 12.9 13.4 99.00 99.00 99.00 999 9999.0  10.2 999.0   2.6 99.0 99.00
2020 03 01 19 20 200 10.8 11.8 99.00 99.00 99.00 999 9999.0  11.0 999.0   2.8 99.0 99.00
2020 03 01 19 30 200  9.3 10.3 99.00 99.00 99.00 999 9999.0   9.9 999.0   3.0 99.0 99.00
2020 03 01 19 40 200  9.3 10.3 99.00 99.00 99.00 999 9999.0  11.1 999.0   3.3 99.0 99.00
2020 03 01 19 50 200  7.7  8.8 99.00 99.00 99.00 999 9999.0  10.1 999.0   3.4 99.0 99.00
2020 03 01 20 00 200  8.2  8.8 99.00 99.00 99.00 999 9999.0  10.7 999.0   3.7 99.0 99.00
2020 03 01 20 10 210 10.3 11.8 99.00 99.00 99.00 999 9999.0  12.2 999.0   3.9 99.0 99.00
2020 03 01 20 20 210  9.8 12.4 99.00 99.00 99.00 999 9999.0  12.7 999.0   4.0 99.0 99.00
2020 03 01 20 30 210 10.8 11.8 99.00 99.00 99.00 999 9999.0  11.7 999.0   4.0 99.0 99.00
2020 03 01 20 40 200 11.3 12.9 99.00 99.00 99.00 999 9999.0  12.1 999.0   4.2 99.0 99.00
2020 03 01 20 50 200 10.3 12.4 99.00 99.00 99.00 999 9999.0  13.0 999.0   4.4 99.0 99.00
2020 03 01 21 00 200  9.3  9.8 99.00 99.00 99.00 999 9999.0  12.6 999.0   4.5 99.0 99.00
2020 03 01 21 10 200 10.3 11.3 99.00 99.00 99.00 999 9999.0  12.7 999.0   4.7 99.0 99.00
2020 03 01 21 20 210  9.8 12.4 99.00 99.00 99.00 999 9999.0  11.2 999.0   4.6 99.0 99.00
2020 03 01 21 30 210  9.8 10.3 99.00 99.00 99.00 999 9999.0  12.2 999.0   4.8 99.0 99.00
2020 03 01 21 40 200 14.4 14.9 99.00 99.00 99.00 999 9999.0  11.6 999.0   5.0 99.0 99.00
2020 03 01 21 50 210 13.4 14.9 99.00 99.00 99.00 999 9999.0  11.6 999.0   5.1 99.0 99.00
2020 03 01 22 00 210 11.8 12.9 99.00 99.00 99.00 999 9999.0  11.8 999.0   5.3 99.0 99.00
2020 03 01 22 10 210 11.3 13.4 99.00 99.00 99.00 999 9999.0  11.9 999.0   5.6 99.0 99.00
2020 03 01 22 20 210 12.4 13.4 99.00 99.00 99.00 999 9999.0  11.9 999.0   5.8 99.0 99.00
2020 03 01 22 30 200  8.8  9.8 99.00 99.00 99.00 999 9999.0  10.8 999.0   5.6 99.0 99.00
2020 03 01 22 40 200 12.9 13.4 99.00 99.00 99.00 999 9999.0  11.0 999.0   6.0 99.0 99.00
2020 03 01 22 50 200 12.4 13.9 99.00 99.00 99.00 999 9999.0  11.6 999.0   6.2 99.0 99.00
2020 03 01 23 00 210 12.9 14.9 99.00 99.00 99.00 999 9999.0  11.3 999.0   6.2 99.0 99.00
2020 03 01 23 10 210 12.9 13.9 99.00 99.00 99.00 999 9999.0  11.5 999.0   6.3 99.0 99.00
2020 03 01 23 20 200 11.3 12.9 99.00 99.00 99.00 999 9999.0  11.7 999.0   6.4 99.0 99.00
2020 03 01 23 30 200 12.4 13.9 99.00 99.00 99.00 999 9999.0  11.6 999.0   6.4 99.0 99.00
2020 03 01 23 40 200 13.4 14.9 99.00 99.00 99.00 999 9999.0  11.9 999.0   6.6 99.0 99.00
2020 03 01 23 50 200 11.8 12.4 99.00 99.00 99.00 999 9999.0  11.5 999.0   6.5 99.0 99.00
2020 03 02 00 00 200 12.9 13.4 99.00 99.00 99.00 999 9999.0  11.6 999.0   6.7 99.0 99.00
2020 03 02 00 10 200 12.4 12.9 99.00 99.00 99.00 999 9999.0  11.3 999.0   6.8 99.0 99.00
2020 03 02 00 20 200 11.3 12.4 99.00 99.00 99.00 999 9999.0  11.7 999.0   7.0 99.0 99.00
2020 03 02 00 30 210 10.3 10.8 99.00 99.00 99.00 999 9999.0  11.6 999.0   7.0 99.0 99.00
2020 03 02 00 40 210  9.8 10.8 99.00 99.00 99.00 999 9999.0  12.0 999.0   7.4 99.0 99.00
2020 03 02 00 50 210  8.8  9.3 99.00 99.00 99.00 999 9999.0  11.7 999.0   7.3 99.0 99.00
